class,instance,mae,err_std
haar,0,0.078460,0.092163
haar,1,0.084422,0.103441
haar,2,0.074975,0.088280
haar,3,0.068074,0.085874
haar,4,0.076679,0.096705
haar,5,0.089056,0.111074
haar,6,0.073961,0.092657
haar,7,0.083672,0.106189
clifford,0,0.012295,0.025213
clifford,1,0.022057,0.040982
clifford,2,0.083378,0.143596
clifford,3,0.042384,0.110563
clifford,4,0.006585,0.008620
clifford,5,0.062357,0.114903
clifford,6,0.031790,0.051917
clifford,7,0.016056,0.031430
brickwall_d1,0,0.271695,0.341454
brickwall_d1,1,0.313411,0.409747
brickwall_d1,2,0.324032,0.397766
brickwall_d1,3,0.367779,0.463422
brickwall_d1,4,0.286063,0.404993
brickwall_d1,5,0.376515,0.491428
brickwall_d1,6,0.301419,0.369348
brickwall_d1,7,0.331798,0.419764
brickwall_d2,0,0.238651,0.292640
brickwall_d2,1,0.277441,0.357708
brickwall_d2,2,0.316564,0.419184
brickwall_d2,3,0.213834,0.338162
brickwall_d2,4,0.340020,0.428394
brickwall_d2,5,0.326895,0.419536
brickwall_d2,6,0.296252,0.386596
brickwall_d2,7,0.165726,0.223555
brickwall_d4,0,0.162258,0.195802
brickwall_d4,1,0.187631,0.235046
brickwall_d4,2,0.280127,0.322276
brickwall_d4,3,0.162042,0.212353
brickwall_d4,4,0.164776,0.212201
brickwall_d4,5,0.221572,0.281567
brickwall_d4,6,0.190922,0.232931
brickwall_d4,7,0.130288,0.173740
brickwall_d8,0,0.109340,0.136512
brickwall_d8,1,0.085725,0.105065
brickwall_d8,2,0.109923,0.148911
brickwall_d8,3,0.084498,0.104551
brickwall_d8,4,0.133176,0.165044
brickwall_d8,5,0.115151,0.139691
brickwall_d8,6,0.111786,0.149578
brickwall_d8,7,0.175851,0.199116
