qpuf_instance,defense,k,n_queries,attack_success,honest_success,random_success
0,off,2,200,0.5250,1.0000,0.1250
0,off,2,500,0.6125,1.0000,0.1250
0,off,2,1000,0.6375,1.0000,0.1250
0,off,2,2000,0.6125,1.0000,0.1250
0,off,2,4000,0.6750,1.0000,0.1250
0,off,2,8000,0.6500,1.0000,0.1250
0,off,2,16000,0.6125,1.0000,0.1250
0,off,3,200,0.3125,1.0000,0.1250
0,off,3,500,0.4750,1.0000,0.1250
0,off,3,1000,0.5625,1.0000,0.1250
0,off,3,2000,0.6375,1.0000,0.1250
0,off,3,4000,0.7750,1.0000,0.1250
0,off,3,8000,0.8625,1.0000,0.1250
0,off,3,16000,0.8375,1.0000,0.1250
0,off,4,200,0.2250,1.0000,0.1250
0,off,4,500,0.3625,1.0000,0.1250
0,off,4,1000,0.4000,1.0000,0.1250
0,off,4,2000,0.5500,1.0000,0.1250
0,off,4,4000,0.7125,1.0000,0.1250
0,off,4,8000,0.7500,1.0000,0.1250
0,off,4,16000,0.8750,1.0000,0.1250
0,on,2,200,0.2250,1.0000,0.1125
0,on,2,500,0.1000,1.0000,0.1125
0,on,2,1000,0.0750,1.0000,0.1125
0,on,2,2000,0.0625,1.0000,0.1125
0,on,2,4000,0.0250,1.0000,0.1125
0,on,2,8000,0.0250,1.0000,0.1125
0,on,2,16000,0.0125,1.0000,0.1125
0,on,3,200,0.1375,1.0000,0.1125
0,on,3,500,0.2250,1.0000,0.1125
0,on,3,1000,0.1625,1.0000,0.1125
0,on,3,2000,0.1375,1.0000,0.1125
0,on,3,4000,0.1000,1.0000,0.1125
0,on,3,8000,0.0375,1.0000,0.1125
0,on,3,16000,0.0000,1.0000,0.1125
0,on,4,200,0.0750,1.0000,0.1125
0,on,4,500,0.0750,1.0000,0.1125
0,on,4,1000,0.1125,1.0000,0.1125
0,on,4,2000,0.3000,1.0000,0.1125
0,on,4,4000,0.3000,1.0000,0.1125
0,on,4,8000,0.4875,1.0000,0.1125
0,on,4,16000,0.6250,1.0000,0.1125
1,off,2,200,0.4125,1.0000,0.1000
1,off,2,500,0.5000,1.0000,0.1000
1,off,2,1000,0.6000,1.0000,0.1000
1,off,2,2000,0.4875,1.0000,0.1000
1,off,2,4000,0.6125,1.0000,0.1000
1,off,2,8000,0.5500,1.0000,0.1000
1,off,2,16000,0.5375,1.0000,0.1000
1,off,3,200,0.2750,1.0000,0.1000
1,off,3,500,0.4750,1.0000,0.1000
1,off,3,1000,0.5375,1.0000,0.1000
1,off,3,2000,0.6750,1.0000,0.1000
1,off,3,4000,0.7250,1.0000,0.1000
1,off,3,8000,0.8000,1.0000,0.1000
1,off,3,16000,0.7750,1.0000,0.1000
1,off,4,200,0.1625,1.0000,0.1000
1,off,4,500,0.2750,1.0000,0.1000
1,off,4,1000,0.4375,1.0000,0.1000
1,off,4,2000,0.6750,1.0000,0.1000
1,off,4,4000,0.7000,1.0000,0.1000
1,off,4,8000,0.7750,1.0000,0.1000
1,off,4,16000,0.9500,1.0000,0.1000
1,on,2,200,0.1625,1.0000,0.1500
1,on,2,500,0.1500,1.0000,0.1500
1,on,2,1000,0.1250,1.0000,0.1500
1,on,2,2000,0.1000,1.0000,0.1500
1,on,2,4000,0.0500,1.0000,0.1500
1,on,2,8000,0.0250,1.0000,0.1500
1,on,2,16000,0.0125,1.0000,0.1500
1,on,3,200,0.1500,1.0000,0.1500
1,on,3,500,0.1250,1.0000,0.1500
1,on,3,1000,0.1875,1.0000,0.1500
1,on,3,2000,0.1125,1.0000,0.1500
1,on,3,4000,0.0625,1.0000,0.1500
1,on,3,8000,0.0750,1.0000,0.1500
1,on,3,16000,0.0375,1.0000,0.1500
1,on,4,200,0.1000,1.0000,0.1500
1,on,4,500,0.2250,1.0000,0.1500
1,on,4,1000,0.2500,1.0000,0.1500
1,on,4,2000,0.2750,1.0000,0.1500
1,on,4,4000,0.3500,1.0000,0.1500
1,on,4,8000,0.4000,1.0000,0.1500
1,on,4,16000,0.6750,1.0000,0.1500
2,off,2,200,0.5250,1.0000,0.0375
2,off,2,500,0.6250,1.0000,0.0375
2,off,2,1000,0.5625,1.0000,0.0375
2,off,2,2000,0.7000,1.0000,0.0375
2,off,2,4000,0.7250,1.0000,0.0375
2,off,2,8000,0.7375,1.0000,0.0375
2,off,2,16000,0.7125,1.0000,0.0375
2,off,3,200,0.2125,1.0000,0.0375
2,off,3,500,0.3375,1.0000,0.0375
2,off,3,1000,0.6125,1.0000,0.0375
2,off,3,2000,0.6500,1.0000,0.0375
2,off,3,4000,0.6875,1.0000,0.0375
2,off,3,8000,0.7500,1.0000,0.0375
2,off,3,16000,0.8000,1.0000,0.0375
2,off,4,200,0.3375,1.0000,0.0375
2,off,4,500,0.2500,1.0000,0.0375
2,off,4,1000,0.4000,1.0000,0.0375
2,off,4,2000,0.4125,1.0000,0.0375
2,off,4,4000,0.7625,1.0000,0.0375
2,off,4,8000,0.8875,1.0000,0.0375
2,off,4,16000,0.9500,1.0000,0.0375
2,on,2,200,0.1375,1.0000,0.1500
2,on,2,500,0.1250,1.0000,0.1500
2,on,2,1000,0.1000,1.0000,0.1500
2,on,2,2000,0.0500,1.0000,0.1500
2,on,2,4000,0.0375,1.0000,0.1500
2,on,2,8000,0.0250,1.0000,0.1500
2,on,2,16000,0.0375,1.0000,0.1500
2,on,3,200,0.2000,1.0000,0.1500
2,on,3,500,0.1250,1.0000,0.1500
2,on,3,1000,0.1500,1.0000,0.1500
2,on,3,2000,0.1375,1.0000,0.1500
2,on,3,4000,0.0750,1.0000,0.1500
2,on,3,8000,0.0500,1.0000,0.1500
2,on,3,16000,0.0125,1.0000,0.1500
2,on,4,200,0.1250,1.0000,0.1500
2,on,4,500,0.0875,1.0000,0.1500
2,on,4,1000,0.1625,1.0000,0.1500
2,on,4,2000,0.2125,1.0000,0.1500
2,on,4,4000,0.4125,1.0000,0.1500
2,on,4,8000,0.5500,1.0000,0.1500
2,on,4,16000,0.5875,1.0000,0.1500
3,off,2,200,0.4875,1.0000,0.1000
3,off,2,500,0.6375,1.0000,0.1000
3,off,2,1000,0.5125,1.0000,0.1000
3,off,2,2000,0.6500,1.0000,0.1000
3,off,2,4000,0.6500,1.0000,0.1000
3,off,2,8000,0.6500,1.0000,0.1000
3,off,2,16000,0.6750,1.0000,0.1000
3,off,3,200,0.4125,1.0000,0.1000
3,off,3,500,0.4250,1.0000,0.1000
3,off,3,1000,0.4500,1.0000,0.1000
3,off,3,2000,0.6750,1.0000,0.1000
3,off,3,4000,0.8000,1.0000,0.1000
3,off,3,8000,0.7375,1.0000,0.1000
3,off,3,16000,0.8125,1.0000,0.1000
3,off,4,200,0.2500,1.0000,0.1000
3,off,4,500,0.2625,1.0000,0.1000
3,off,4,1000,0.4250,1.0000,0.1000
3,off,4,2000,0.5250,1.0000,0.1000
3,off,4,4000,0.6375,1.0000,0.1000
3,off,4,8000,0.8500,1.0000,0.1000
3,off,4,16000,0.9375,1.0000,0.1000
3,on,2,200,0.1750,1.0000,0.0750
3,on,2,500,0.1250,1.0000,0.0750
3,on,2,1000,0.1000,1.0000,0.0750
3,on,2,2000,0.0750,1.0000,0.0750
3,on,2,4000,0.0375,1.0000,0.0750
3,on,2,8000,0.0375,1.0000,0.0750
3,on,2,16000,0.0375,1.0000,0.0750
3,on,3,200,0.1625,1.0000,0.0750
3,on,3,500,0.0750,1.0000,0.0750
3,on,3,1000,0.1125,1.0000,0.0750
3,on,3,2000,0.1000,1.0000,0.0750
3,on,3,4000,0.1375,1.0000,0.0750
3,on,3,8000,0.0625,1.0000,0.0750
3,on,3,16000,0.0250,1.0000,0.0750
3,on,4,200,0.1000,1.0000,0.0750
3,on,4,500,0.2000,1.0000,0.0750
3,on,4,1000,0.2375,1.0000,0.0750
3,on,4,2000,0.2375,1.0000,0.0750
3,on,4,4000,0.3625,1.0000,0.0750
3,on,4,8000,0.3625,1.0000,0.0750
3,on,4,16000,0.6125,1.0000,0.0750
