instance,p_end,method,half_life,mae
0,0.05,vanilla,inf,0.056634
0,0.05,online,200.0,0.132265
0,0.05,online,500.0,0.084226
0,0.05,online,1000.0,0.063814
0,0.05,online,2000.0,0.060364
0,0.05,shadow,0.0,0.153431
0,0.1,vanilla,inf,0.063851
0,0.1,online,200.0,0.131671
0,0.1,online,500.0,0.090395
0,0.1,online,1000.0,0.075383
0,0.1,online,2000.0,0.068615
0,0.1,shadow,0.0,0.161189
0,0.2,vanilla,inf,0.058488
0,0.2,online,200.0,0.100401
0,0.2,online,500.0,0.067920
0,0.2,online,1000.0,0.054095
0,0.2,online,2000.0,0.050490
0,0.2,shadow,0.0,0.126740
0,0.4,vanilla,inf,0.069998
0,0.4,online,200.0,0.092155
0,0.4,online,500.0,0.063336
0,0.4,online,1000.0,0.059349
0,0.4,online,2000.0,0.061807
0,0.4,shadow,0.0,0.168659
1,0.05,vanilla,inf,0.066357
1,0.05,online,200.0,0.122983
1,0.05,online,500.0,0.077555
1,0.05,online,1000.0,0.067320
1,0.05,online,2000.0,0.066765
1,0.05,shadow,0.0,0.155613
1,0.1,vanilla,inf,0.065601
1,0.1,online,200.0,0.107555
1,0.1,online,500.0,0.080368
1,0.1,online,1000.0,0.073654
1,0.1,online,2000.0,0.064140
1,0.1,shadow,0.0,0.174597
1,0.2,vanilla,inf,0.045760
1,0.2,online,200.0,0.094066
1,0.2,online,500.0,0.067511
1,0.2,online,1000.0,0.056510
1,0.2,online,2000.0,0.050956
1,0.2,shadow,0.0,0.163141
1,0.4,vanilla,inf,0.053009
1,0.4,online,200.0,0.069681
1,0.4,online,500.0,0.054183
1,0.4,online,1000.0,0.051247
1,0.4,online,2000.0,0.051502
1,0.4,shadow,0.0,0.175793
2,0.05,vanilla,inf,0.066979
2,0.05,online,200.0,0.123727
2,0.05,online,500.0,0.083027
2,0.05,online,1000.0,0.078219
2,0.05,online,2000.0,0.070686
2,0.05,shadow,0.0,0.178917
2,0.1,vanilla,inf,0.060678
2,0.1,online,200.0,0.125675
2,0.1,online,500.0,0.094552
2,0.1,online,1000.0,0.077460
2,0.1,online,2000.0,0.069193
2,0.1,shadow,0.0,0.138270
2,0.2,vanilla,inf,0.049732
2,0.2,online,200.0,0.082505
2,0.2,online,500.0,0.060213
2,0.2,online,1000.0,0.049215
2,0.2,online,2000.0,0.051062
2,0.2,shadow,0.0,0.188570
2,0.4,vanilla,inf,0.060849
2,0.4,online,200.0,0.089655
2,0.4,online,500.0,0.059173
2,0.4,online,1000.0,0.052511
2,0.4,online,2000.0,0.053510
2,0.4,shadow,0.0,0.177711
3,0.05,vanilla,inf,0.057851
3,0.05,online,200.0,0.106056
3,0.05,online,500.0,0.069557
3,0.05,online,1000.0,0.053335
3,0.05,online,2000.0,0.050217
3,0.05,shadow,0.0,0.165616
3,0.1,vanilla,inf,0.047212
3,0.1,online,200.0,0.097402
3,0.1,online,500.0,0.061298
3,0.1,online,1000.0,0.045405
3,0.1,online,2000.0,0.043656
3,0.1,shadow,0.0,0.158910
3,0.2,vanilla,inf,0.057130
3,0.2,online,200.0,0.111402
3,0.2,online,500.0,0.069378
3,0.2,online,1000.0,0.058680
3,0.2,online,2000.0,0.059489
3,0.2,shadow,0.0,0.153367
3,0.4,vanilla,inf,0.062820
3,0.4,online,200.0,0.079874
3,0.4,online,500.0,0.052688
3,0.4,online,1000.0,0.055486
3,0.4,online,2000.0,0.055150
3,0.4,shadow,0.0,0.134500
