unitary_idx,noise_kind,p,mae,err_std
0,depolarizing,0.0,0.085069,0.098807
0,depolarizing,0.02,0.078220,0.094806
0,depolarizing,0.05,0.078369,0.100711
0,depolarizing,0.1,0.078013,0.095616
0,depolarizing,0.2,0.063710,0.080677
0,amplitude_damping,0.0,0.082604,0.103837
0,amplitude_damping,0.02,0.070541,0.089554
0,amplitude_damping,0.05,0.087658,0.107874
0,amplitude_damping,0.1,0.083456,0.112224
0,amplitude_damping,0.2,0.130790,0.168503
1,depolarizing,0.0,0.078931,0.094870
1,depolarizing,0.02,0.072336,0.090275
1,depolarizing,0.05,0.079711,0.104987
1,depolarizing,0.1,0.074798,0.097204
1,depolarizing,0.2,0.075840,0.094889
1,amplitude_damping,0.0,0.084431,0.105641
1,amplitude_damping,0.02,0.097420,0.120057
1,amplitude_damping,0.05,0.072809,0.088919
1,amplitude_damping,0.1,0.112791,0.137779
1,amplitude_damping,0.2,0.141792,0.181750
2,depolarizing,0.0,0.085614,0.110919
2,depolarizing,0.02,0.079363,0.101291
2,depolarizing,0.05,0.077541,0.088870
2,depolarizing,0.1,0.086937,0.097403
2,depolarizing,0.2,0.069864,0.087054
2,amplitude_damping,0.0,0.077995,0.101056
2,amplitude_damping,0.02,0.085762,0.106322
2,amplitude_damping,0.05,0.083601,0.109955
2,amplitude_damping,0.1,0.088297,0.103437
2,amplitude_damping,0.2,0.150446,0.186127
3,depolarizing,0.0,0.106773,0.133079
3,depolarizing,0.02,0.085299,0.111178
3,depolarizing,0.05,0.081766,0.100468
3,depolarizing,0.1,0.080105,0.102493
3,depolarizing,0.2,0.072161,0.092788
3,amplitude_damping,0.0,0.076122,0.094985
3,amplitude_damping,0.02,0.079974,0.095346
3,amplitude_damping,0.05,0.083950,0.105252
3,amplitude_damping,0.1,0.104416,0.134965
3,amplitude_damping,0.2,0.154576,0.195396
4,depolarizing,0.0,0.090440,0.111283
4,depolarizing,0.02,0.077137,0.095305
4,depolarizing,0.05,0.081704,0.097657
4,depolarizing,0.1,0.075426,0.098157
4,depolarizing,0.2,0.065117,0.080920
4,amplitude_damping,0.0,0.080806,0.102209
4,amplitude_damping,0.02,0.091563,0.110784
4,amplitude_damping,0.05,0.075654,0.093890
4,amplitude_damping,0.1,0.080778,0.101394
4,amplitude_damping,0.2,0.148684,0.185302
