t_count,instance,n_query,method,mae
0,0,500,qpsq,0.031039
0,0,500,shadow,0.443750
0,0,1000,qpsq,0.028972
0,0,1000,shadow,0.312121
0,0,2000,qpsq,0.013990
0,0,2000,shadow,0.150000
0,0,4000,qpsq,0.010504
0,0,4000,shadow,0.123308
0,0,8000,qpsq,0.006218
0,0,8000,shadow,0.068045
0,1,500,qpsq,0.075562
0,1,500,shadow,0.350000
0,1,1000,qpsq,0.053908
0,1,1000,shadow,0.227273
0,1,2000,qpsq,0.030742
0,1,2000,shadow,0.169697
0,1,4000,qpsq,0.030416
0,1,4000,shadow,0.096992
0,1,8000,qpsq,0.018105
0,1,8000,shadow,0.098496
0,2,500,qpsq,0.048390
0,2,500,shadow,0.368750
0,2,1000,qpsq,0.049188
0,2,1000,shadow,0.272727
0,2,2000,qpsq,0.022763
0,2,2000,shadow,0.157576
0,2,4000,qpsq,0.016911
0,2,4000,shadow,0.104511
0,2,8000,qpsq,0.010289
0,2,8000,shadow,0.106767
0,3,500,qpsq,0.093472
0,3,500,shadow,0.212500
0,3,1000,qpsq,0.060739
0,3,1000,shadow,0.251515
0,3,2000,qpsq,0.053834
0,3,2000,shadow,0.222727
0,3,4000,qpsq,0.076043
0,3,4000,shadow,0.124060
0,3,8000,qpsq,0.030956
0,3,8000,shadow,0.077694
1,0,500,qpsq,0.238265
1,0,500,shadow,0.272917
1,0,1000,qpsq,0.165957
1,0,1000,shadow,0.296970
1,0,2000,qpsq,0.196775
1,0,2000,shadow,0.156061
1,0,4000,qpsq,0.105131
1,0,4000,shadow,0.116291
1,0,8000,qpsq,0.099211
1,0,8000,shadow,0.073559
1,1,500,qpsq,0.105298
1,1,500,shadow,0.470180
1,1,1000,qpsq,0.141831
1,1,1000,shadow,0.176430
1,1,2000,qpsq,0.086844
1,1,2000,shadow,0.138551
1,1,4000,qpsq,0.032494
1,1,4000,shadow,0.129289
1,1,8000,qpsq,0.031724
1,1,8000,shadow,0.081693
1,2,500,qpsq,0.042141
1,2,500,shadow,0.331250
1,2,1000,qpsq,0.020778
1,2,1000,shadow,0.236364
1,2,2000,qpsq,0.017971
1,2,2000,shadow,0.165152
1,2,4000,qpsq,0.019605
1,2,4000,shadow,0.121805
1,2,8000,qpsq,0.011537
1,2,8000,shadow,0.091729
1,3,500,qpsq,0.178635
1,3,500,shadow,0.327083
1,3,1000,qpsq,0.067424
1,3,1000,shadow,0.272727
1,3,2000,qpsq,0.052694
1,3,2000,shadow,0.168182
1,3,4000,qpsq,0.028920
1,3,4000,shadow,0.125313
1,3,8000,qpsq,0.029159
1,3,8000,shadow,0.080702
2,0,500,qpsq,0.362966
2,0,500,shadow,0.318750
2,0,1000,qpsq,0.173189
2,0,1000,shadow,0.206061
2,0,2000,qpsq,0.122446
2,0,2000,shadow,0.181818
2,0,4000,qpsq,0.128145
2,0,4000,shadow,0.108521
2,0,8000,qpsq,0.067829
2,0,8000,shadow,0.085088
2,1,500,qpsq,0.129764
2,1,500,shadow,0.333333
2,1,1000,qpsq,0.125915
2,1,1000,shadow,0.210606
2,1,2000,qpsq,0.068787
2,1,2000,shadow,0.154545
2,1,4000,qpsq,0.049671
2,1,4000,shadow,0.127694
2,1,8000,qpsq,0.035436
2,1,8000,shadow,0.115163
2,2,500,qpsq,0.197130
2,2,500,shadow,0.454289
2,2,1000,qpsq,0.156618
2,2,1000,shadow,0.202017
2,2,2000,qpsq,0.114838
2,2,2000,shadow,0.147642
2,2,4000,qpsq,0.056554
2,2,4000,shadow,0.147630
2,2,8000,qpsq,0.040196
2,2,8000,shadow,0.081169
2,3,500,qpsq,0.089146
2,3,500,shadow,0.312500
2,3,1000,qpsq,0.046974
2,3,1000,shadow,0.254545
2,3,2000,qpsq,0.024480
2,3,2000,shadow,0.154545
2,3,4000,qpsq,0.014279
2,3,4000,shadow,0.090226
2,3,8000,qpsq,0.009384
2,3,8000,shadow,0.075188
4,0,500,qpsq,0.122664
4,0,500,shadow,0.281250
4,0,1000,qpsq,0.083020
4,0,1000,shadow,0.245455
4,0,2000,qpsq,0.071833
4,0,2000,shadow,0.148485
4,0,4000,qpsq,0.056281
4,0,4000,shadow,0.122055
4,0,8000,qpsq,0.027409
4,0,8000,shadow,0.089975
4,1,500,qpsq,0.138865
4,1,500,shadow,0.375000
4,1,1000,qpsq,0.069553
4,1,1000,shadow,0.242424
4,1,2000,qpsq,0.061017
4,1,2000,shadow,0.148485
4,1,4000,qpsq,0.049750
4,1,4000,shadow,0.142857
4,1,8000,qpsq,0.027417
4,1,8000,shadow,0.068045
4,2,500,qpsq,0.191871
4,2,500,shadow,0.401430
4,2,1000,qpsq,0.094081
4,2,1000,shadow,0.189223
4,2,2000,qpsq,0.063332
4,2,2000,shadow,0.128788
4,2,4000,qpsq,0.053344
4,2,4000,shadow,0.097972
4,2,8000,qpsq,0.035230
4,2,8000,shadow,0.107553
4,3,500,qpsq,0.072409
4,3,500,shadow,0.325000
4,3,1000,qpsq,0.048613
4,3,1000,shadow,0.236364
4,3,2000,qpsq,0.031605
4,3,2000,shadow,0.146970
4,3,4000,qpsq,0.036575
4,3,4000,shadow,0.118045
4,3,8000,qpsq,0.016311
4,3,8000,shadow,0.057519
8,0,500,qpsq,0.245664
8,0,500,shadow,0.320180
8,0,1000,qpsq,0.164828
8,0,1000,shadow,0.230719
8,0,2000,qpsq,0.124624
8,0,2000,shadow,0.168267
8,0,4000,qpsq,0.088093
8,0,4000,shadow,0.090425
8,0,8000,qpsq,0.046800
8,0,8000,shadow,0.076014
8,1,500,qpsq,0.188558
8,1,500,shadow,0.302206
8,1,1000,qpsq,0.141026
8,1,1000,shadow,0.284176
8,1,2000,qpsq,0.091664
8,1,2000,shadow,0.172055
8,1,4000,qpsq,0.066602
8,1,4000,shadow,0.106550
8,1,8000,qpsq,0.036898
8,1,8000,shadow,0.065425
8,2,500,qpsq,0.230658
8,2,500,shadow,0.363868
8,2,1000,qpsq,0.100629
8,2,1000,shadow,0.241245
8,2,2000,qpsq,0.082859
8,2,2000,shadow,0.188887
8,2,4000,qpsq,0.057285
8,2,4000,shadow,0.103389
8,2,8000,qpsq,0.043202
8,2,8000,shadow,0.099664
8,3,500,qpsq,0.099554
8,3,500,shadow,0.261846
8,3,1000,qpsq,0.079714
8,3,1000,shadow,0.239309
8,3,2000,qpsq,0.057086
8,3,2000,shadow,0.175843
8,3,4000,qpsq,0.041634
8,3,4000,shadow,0.114610
8,3,8000,qpsq,0.027630
8,3,8000,shadow,0.087919
16,0,500,qpsq,0.137002
16,0,500,shadow,0.325715
16,0,1000,qpsq,0.065417
16,0,1000,shadow,0.224579
16,0,2000,qpsq,0.053408
16,0,2000,shadow,0.198149
16,0,4000,qpsq,0.041475
16,0,4000,shadow,0.086221
16,0,8000,qpsq,0.025558
16,0,8000,shadow,0.079944
16,1,500,qpsq,0.148351
16,1,500,shadow,0.222202
16,1,1000,qpsq,0.116305
16,1,1000,shadow,0.307240
16,1,2000,qpsq,0.093223
16,1,2000,shadow,0.186028
16,1,4000,qpsq,0.063419
16,1,4000,shadow,0.102888
16,1,8000,qpsq,0.041304
16,1,8000,shadow,0.072425
16,2,500,qpsq,0.126754
16,2,500,shadow,0.347917
16,2,1000,qpsq,0.086298
16,2,1000,shadow,0.262121
16,2,2000,qpsq,0.058040
16,2,2000,shadow,0.156061
16,2,4000,qpsq,0.031944
16,2,4000,shadow,0.118170
16,2,8000,qpsq,0.023821
16,2,8000,shadow,0.071930
16,3,500,qpsq,0.227467
16,3,500,shadow,0.447472
16,3,1000,qpsq,0.178773
16,3,1000,shadow,0.246188
16,3,2000,qpsq,0.096319
16,3,2000,shadow,0.189289
16,3,4000,qpsq,0.060958
16,3,4000,shadow,0.104265
16,3,8000,qpsq,0.048446
16,3,8000,shadow,0.080062
