theta_idx,method,energy
0,noiseless,-2.762736
0,noisy_factored,-2.554944
0,noisy_aer,-2.638352
0,surrogate,-2.722259
0,shadow,-2.775000
1,noiseless,-3.238704
1,noisy_factored,-3.007857
1,noisy_aer,-3.094024
1,surrogate,-3.213521
1,shadow,-3.397500
2,noiseless,-3.242853
2,noisy_factored,-3.013909
2,noisy_aer,-3.098171
2,surrogate,-3.230376
2,shadow,-2.572500
3,noiseless,-3.247399
3,noisy_factored,-3.013751
3,noisy_aer,-3.103722
3,surrogate,-3.199843
3,shadow,-2.985000
4,noiseless,-3.117066
4,noisy_factored,-2.893524
4,noisy_aer,-2.977082
4,surrogate,-3.050966
4,shadow,-2.512500
5,noiseless,-3.139761
5,noisy_factored,-2.917430
5,noisy_aer,-3.001234
5,surrogate,-3.068854
5,shadow,-2.962500
6,noiseless,-3.184520
6,noisy_factored,-2.948564
6,noisy_aer,-3.044158
6,surrogate,-3.137767
6,shadow,-3.397500
7,noiseless,-3.239508
7,noisy_factored,-3.009885
7,noisy_aer,-3.096132
7,surrogate,-3.184245
7,shadow,-2.910000
8,noiseless,-3.073517
8,noisy_factored,-2.856197
8,noisy_aer,-2.942359
8,surrogate,-3.012863
8,shadow,-2.797500
9,noiseless,-3.209335
9,noisy_factored,-2.976433
9,noisy_aer,-3.070268
9,surrogate,-3.105735
9,shadow,-3.540000
10,noiseless,-2.979155
10,noisy_factored,-2.755445
10,noisy_aer,-2.848084
10,surrogate,-2.914738
10,shadow,-2.767500
11,noiseless,-3.249412
11,noisy_factored,-3.017603
11,noisy_aer,-3.105048
11,surrogate,-3.209734
11,shadow,-2.992500
12,noiseless,-3.186791
12,noisy_factored,-2.953956
12,noisy_aer,-3.047333
12,surrogate,-3.141362
12,shadow,-3.780000
13,noiseless,-3.242601
13,noisy_factored,-3.011189
13,noisy_aer,-3.100543
13,surrogate,-3.222016
13,shadow,-2.805000
14,noiseless,-3.003283
14,noisy_factored,-2.787110
14,noisy_aer,-2.873152
14,surrogate,-2.958798
14,shadow,-3.105000
15,noiseless,-3.088057
15,noisy_factored,-2.867189
15,noisy_aer,-2.954204
15,surrogate,-3.012139
15,shadow,-3.472500
16,noiseless,-3.139628
16,noisy_factored,-2.908185
16,noisy_aer,-2.998477
16,surrogate,-3.060670
16,shadow,-2.625000
17,noiseless,-3.218208
17,noisy_factored,-2.991151
17,noisy_aer,-3.074691
17,surrogate,-3.187518
17,shadow,-2.640000
18,noiseless,-3.159622
18,noisy_factored,-2.927780
18,noisy_aer,-3.014003
18,surrogate,-3.035049
18,shadow,-2.902500
19,noiseless,-2.702264
19,noisy_factored,-2.525323
19,noisy_aer,-2.578395
19,surrogate,-2.780589
19,shadow,-2.700000
20,noiseless,-3.071424
20,noisy_factored,-2.846252
20,noisy_aer,-2.934979
20,surrogate,-3.091577
20,shadow,-2.895000
21,noiseless,-3.043470
21,noisy_factored,-2.822340
21,noisy_aer,-2.913381
21,surrogate,-2.874752
21,shadow,-3.067500
22,noiseless,-3.069773
22,noisy_factored,-2.855882
22,noisy_aer,-2.931799
22,surrogate,-3.016086
22,shadow,-3.000000
23,noiseless,-3.186434
23,noisy_factored,-2.960371
23,noisy_aer,-3.044081
23,surrogate,-3.152777
23,shadow,-2.895000
24,noiseless,-3.233806
24,noisy_factored,-3.001849
24,noisy_aer,-3.088781
24,surrogate,-3.182906
24,shadow,-2.865000
25,noiseless,-2.897537
25,noisy_factored,-2.682192
25,noisy_aer,-2.769282
25,surrogate,-2.862452
25,shadow,-3.037500
26,noiseless,-2.985811
26,noisy_factored,-2.765326
26,noisy_aer,-2.850262
26,surrogate,-2.891359
26,shadow,-2.692500
27,noiseless,-3.084096
27,noisy_factored,-2.858786
27,noisy_aer,-2.952104
27,surrogate,-3.006131
27,shadow,-2.790000
28,noiseless,-2.967731
28,noisy_factored,-2.756962
28,noisy_aer,-2.833956
28,surrogate,-2.929343
28,shadow,-3.292500
29,noiseless,-3.210647
29,noisy_factored,-2.982366
29,noisy_aer,-3.064512
29,surrogate,-3.213053
29,shadow,-3.705000
30,noiseless,-2.907577
30,noisy_factored,-2.712965
30,noisy_aer,-2.777489
30,surrogate,-2.869274
30,shadow,-1.852500
31,noiseless,-3.085408
31,noisy_factored,-2.864797
31,noisy_aer,-2.944818
31,surrogate,-3.063327
31,shadow,-3.150000
