trial,gauss_deviation,shadow_deviation
0,0.064042,-0.081583
1,-0.108821,-0.097850
2,0.126881,0.000448
3,0.012936,-0.070761
4,-0.022119,0.099582
5,0.096267,0.215037
6,-0.000566,-0.017606
7,0.060333,-0.134793
8,0.106047,-0.047323
9,0.074011,-0.099637
10,0.097891,-0.041043
11,-0.127074,-0.097850
12,0.154276,0.164511
13,-0.101124,-0.040988
14,-0.137034,0.109569
15,-0.155047,-0.064425
16,0.090658,0.141073
17,0.140402,-0.058145
18,-0.045170,0.039256
19,-0.026940,-0.041043
20,0.016485,0.042775
21,0.112996,0.074412
22,-0.080994,0.052707
23,-0.031753,-0.047323
24,0.034585,-0.111356
25,-0.068848,0.191600
26,-0.064227,-0.133006
27,-0.045244,-0.082480
28,0.094595,-0.034708
29,-0.132939,0.076200
30,-0.082032,-0.069864
31,-0.035847,-0.152792
32,-0.067502,-0.058145
33,0.112262,0.086131
34,-0.149278,-0.076200
35,0.074883,0.222208
36,-0.070374,-0.031056
37,-0.097643,0.042775
38,-0.058228,0.005832
39,0.047030,-0.050975
40,0.017330,0.089650
41,0.005007,-0.019338
42,-0.064703,0.159963
43,0.004516,0.105020
44,0.018496,-0.163614
45,0.063388,0.059042
46,-0.090591,0.059042
47,-0.078789,-0.070761
48,-0.068773,0.000448
49,0.056579,0.312306
50,0.022521,-0.128458
51,-0.048645,-0.134793
52,-0.273528,-0.050975
53,-0.039974,-0.000448
54,0.023050,-0.097850
55,-0.135476,-0.109569
56,0.027707,-0.076200
57,0.088616,-0.069864
58,-0.044834,-0.093302
59,-0.226170,0.022989
60,-0.129090,0.116739
61,0.164267,-0.069864
62,0.076140,0.050975
63,0.063154,0.077931
64,0.146799,0.076200
65,0.098520,-0.005887
66,0.031373,-0.012167
67,-0.014254,0.011270
68,0.083998,-0.087918
69,0.152273,-0.099582
70,0.056748,0.152792
71,0.166435,0.017550
72,-0.100293,0.111300
73,0.076342,-0.069864
74,0.056116,-0.041043
75,-0.021720,-0.081583
76,0.024791,0.066213
