unitary_idx,tau,N,distribution,mse,mae
0,0.05,50,computational,0.071954,0.205399
0,0.05,50,stabilizer,0.039263,0.157422
0,0.05,50,haar,0.024407,0.123207
0,0.05,100,computational,0.053854,0.188034
0,0.05,100,stabilizer,0.037996,0.151341
0,0.05,100,haar,0.019602,0.108027
0,0.05,150,computational,0.023054,0.123871
0,0.05,150,stabilizer,0.026263,0.128415
0,0.05,150,haar,0.015534,0.098033
0,0.05,200,computational,0.023390,0.118965
0,0.05,200,stabilizer,0.027301,0.130290
0,0.05,200,haar,0.016668,0.102891
0,0.05,250,computational,0.020839,0.118981
0,0.05,250,stabilizer,0.018879,0.111067
0,0.05,250,haar,0.016096,0.100000
0,0.05,300,computational,0.018848,0.099844
0,0.05,300,stabilizer,0.015528,0.099991
0,0.05,300,haar,0.014652,0.096904
0,0.05,350,computational,0.022245,0.121659
0,0.05,350,stabilizer,0.016517,0.094916
0,0.05,350,haar,0.014736,0.099013
0,0.05,400,computational,0.021606,0.124003
0,0.05,400,stabilizer,0.015185,0.097904
0,0.05,400,haar,0.014329,0.094565
0,0.05,450,computational,0.018407,0.106413
0,0.05,450,stabilizer,0.015013,0.090841
0,0.05,450,haar,0.014732,0.097454
0,0.05,500,computational,0.020585,0.114148
0,0.05,500,stabilizer,0.017380,0.104476
0,0.05,500,haar,0.014064,0.092847
0,0.15,50,computational,0.068934,0.208115
0,0.15,50,stabilizer,0.052223,0.180730
0,0.15,50,haar,0.023244,0.124927
0,0.15,100,computational,0.064594,0.216992
0,0.15,100,stabilizer,0.035374,0.154496
0,0.15,100,haar,0.016157,0.099504
0,0.15,150,computational,0.019169,0.106177
0,0.15,150,stabilizer,0.028880,0.127668
0,0.15,150,haar,0.015571,0.098303
0,0.15,200,computational,0.030057,0.133638
0,0.15,200,stabilizer,0.026168,0.120854
0,0.15,200,haar,0.015514,0.102525
0,0.15,250,computational,0.029405,0.141412
0,0.15,250,stabilizer,0.021785,0.113341
0,0.15,250,haar,0.015607,0.099487
0,0.15,300,computational,0.026505,0.121455
0,0.15,300,stabilizer,0.021256,0.120360
0,0.15,300,haar,0.017191,0.105825
0,0.15,350,computational,0.026731,0.128151
0,0.15,350,stabilizer,0.025810,0.129760
0,0.15,350,haar,0.014987,0.097979
0,0.15,400,computational,0.022871,0.118020
0,0.15,400,stabilizer,0.016825,0.099871
0,0.15,400,haar,0.013896,0.094283
0,0.15,450,computational,0.019274,0.112505
0,0.15,450,stabilizer,0.021212,0.108905
0,0.15,450,haar,0.015061,0.098615
0,0.15,500,computational,0.023041,0.113601
0,0.15,500,stabilizer,0.014352,0.092848
0,0.15,500,haar,0.013561,0.095079
0,0.25,50,computational,0.103697,0.260403
0,0.25,50,stabilizer,0.109022,0.250683
0,0.25,50,haar,0.027032,0.132421
0,0.25,100,computational,0.047743,0.176465
0,0.25,100,stabilizer,0.077504,0.215741
0,0.25,100,haar,0.022597,0.115547
0,0.25,150,computational,0.055862,0.192534
0,0.25,150,stabilizer,0.049277,0.182303
0,0.25,150,haar,0.023012,0.123749
0,0.25,200,computational,0.041622,0.164344
0,0.25,200,stabilizer,0.039322,0.149702
0,0.25,200,haar,0.019374,0.114454
0,0.25,250,computational,0.036238,0.151032
0,0.25,250,stabilizer,0.032823,0.148547
0,0.25,250,haar,0.018054,0.107637
0,0.25,300,computational,0.026480,0.135011
0,0.25,300,stabilizer,0.024881,0.128311
0,0.25,300,haar,0.017500,0.109079
0,0.25,350,computational,0.031254,0.137247
0,0.25,350,stabilizer,0.020670,0.116256
0,0.25,350,haar,0.016392,0.103975
0,0.25,400,computational,0.034660,0.144851
0,0.25,400,stabilizer,0.020685,0.116364
0,0.25,400,haar,0.013753,0.093262
0,0.25,450,computational,0.022212,0.117580
0,0.25,450,stabilizer,0.020755,0.121132
0,0.25,450,haar,0.014709,0.098778
0,0.25,500,computational,0.026919,0.129218
0,0.25,500,stabilizer,0.024326,0.120869
0,0.25,500,haar,0.014033,0.095081
1,0.05,50,computational,0.056138,0.195066
1,0.05,50,stabilizer,0.053600,0.182630
1,0.05,50,haar,0.024945,0.127451
1,0.05,100,computational,0.025582,0.132786
1,0.05,100,stabilizer,0.028042,0.135226
1,0.05,100,haar,0.022118,0.121562
1,0.05,150,computational,0.017760,0.111549
1,0.05,150,stabilizer,0.027945,0.136961
1,0.05,150,haar,0.020626,0.117172
1,0.05,200,computational,0.019232,0.108310
1,0.05,200,stabilizer,0.020220,0.116171
1,0.05,200,haar,0.016626,0.103930
1,0.05,250,computational,0.013363,0.092002
1,0.05,250,stabilizer,0.020433,0.116257
1,0.05,250,haar,0.019711,0.118881
1,0.05,300,computational,0.013752,0.094691
1,0.05,300,stabilizer,0.018475,0.107883
1,0.05,300,haar,0.018334,0.112928
1,0.05,350,computational,0.015655,0.103113
1,0.05,350,stabilizer,0.017252,0.105012
1,0.05,350,haar,0.017520,0.109427
1,0.05,400,computational,0.014199,0.087212
1,0.05,400,stabilizer,0.016509,0.107795
1,0.05,400,haar,0.018167,0.111282
1,0.05,450,computational,0.014910,0.103647
1,0.05,450,stabilizer,0.017603,0.107683
1,0.05,450,haar,0.018958,0.112148
1,0.05,500,computational,0.010601,0.079282
1,0.05,500,stabilizer,0.018474,0.103181
1,0.05,500,haar,0.017535,0.108980
1,0.15,50,computational,0.038489,0.158707
1,0.15,50,stabilizer,0.047920,0.182562
1,0.15,50,haar,0.019994,0.114446
1,0.15,100,computational,0.044976,0.165132
1,0.15,100,stabilizer,0.037839,0.152481
1,0.15,100,haar,0.020198,0.118016
1,0.15,150,computational,0.027986,0.137253
1,0.15,150,stabilizer,0.033277,0.146516
1,0.15,150,haar,0.022748,0.122596
1,0.15,200,computational,0.027611,0.136963
1,0.15,200,stabilizer,0.029865,0.142919
1,0.15,200,haar,0.018908,0.112379
1,0.15,250,computational,0.019576,0.115529
1,0.15,250,stabilizer,0.020296,0.114889
1,0.15,250,haar,0.017708,0.106859
1,0.15,300,computational,0.015786,0.097614
1,0.15,300,stabilizer,0.019740,0.110831
1,0.15,300,haar,0.018157,0.111676
1,0.15,350,computational,0.019598,0.112099
1,0.15,350,stabilizer,0.020653,0.118725
1,0.15,350,haar,0.022182,0.122949
1,0.15,400,computational,0.014467,0.093687
1,0.15,400,stabilizer,0.016945,0.104614
1,0.15,400,haar,0.017093,0.108119
1,0.15,450,computational,0.011423,0.084437
1,0.15,450,stabilizer,0.017608,0.106038
1,0.15,450,haar,0.017844,0.113363
1,0.15,500,computational,0.011429,0.086632
1,0.15,500,stabilizer,0.019553,0.115662
1,0.15,500,haar,0.018952,0.112131
1,0.25,50,computational,0.082354,0.238100
1,0.25,50,stabilizer,0.090994,0.249379
1,0.25,50,haar,0.022716,0.122016
1,0.25,100,computational,0.036818,0.155124
1,0.25,100,stabilizer,0.060194,0.192117
1,0.25,100,haar,0.021712,0.114156
1,0.25,150,computational,0.025788,0.125608
1,0.25,150,stabilizer,0.038902,0.145941
1,0.25,150,haar,0.019783,0.114282
1,0.25,200,computational,0.033180,0.144485
1,0.25,200,stabilizer,0.030450,0.132108
1,0.25,200,haar,0.021943,0.119339
1,0.25,250,computational,0.026462,0.137114
1,0.25,250,stabilizer,0.036950,0.153995
1,0.25,250,haar,0.021274,0.117902
1,0.25,300,computational,0.017992,0.102675
1,0.25,300,stabilizer,0.024771,0.125904
1,0.25,300,haar,0.018939,0.112737
1,0.25,350,computational,0.020301,0.117981
1,0.25,350,stabilizer,0.026966,0.133762
1,0.25,350,haar,0.019760,0.110376
1,0.25,400,computational,0.020920,0.110616
1,0.25,400,stabilizer,0.022274,0.112954
1,0.25,400,haar,0.017311,0.106303
1,0.25,450,computational,0.019605,0.110230
1,0.25,450,stabilizer,0.022758,0.118754
1,0.25,450,haar,0.020539,0.119135
1,0.25,500,computational,0.015403,0.101622
1,0.25,500,stabilizer,0.018273,0.111384
1,0.25,500,haar,0.017829,0.108186
2,0.05,50,computational,0.078464,0.219030
2,0.05,50,stabilizer,0.057352,0.180304
2,0.05,50,haar,0.022946,0.120057
2,0.05,100,computational,0.050789,0.185267
2,0.05,100,stabilizer,0.029101,0.138613
2,0.05,100,haar,0.018004,0.107750
2,0.05,150,computational,0.021993,0.114432
2,0.05,150,stabilizer,0.030197,0.132895
2,0.05,150,haar,0.017100,0.105870
2,0.05,200,computational,0.026909,0.129033
2,0.05,200,stabilizer,0.020514,0.115526
2,0.05,200,haar,0.017012,0.103199
2,0.05,250,computational,0.025078,0.121391
2,0.05,250,stabilizer,0.020128,0.112876
2,0.05,250,haar,0.016511,0.102701
2,0.05,300,computational,0.014537,0.091963
2,0.05,300,stabilizer,0.019194,0.112559
2,0.05,300,haar,0.017020,0.104453
2,0.05,350,computational,0.019489,0.116238
2,0.05,350,stabilizer,0.019006,0.110208
2,0.05,350,haar,0.016878,0.103562
2,0.05,400,computational,0.013405,0.089641
2,0.05,400,stabilizer,0.020689,0.108592
2,0.05,400,haar,0.016297,0.100828
2,0.05,450,computational,0.017648,0.104286
2,0.05,450,stabilizer,0.016271,0.102761
2,0.05,450,haar,0.016390,0.100671
2,0.05,500,computational,0.015859,0.101024
2,0.05,500,stabilizer,0.016937,0.102383
2,0.05,500,haar,0.016651,0.102900
2,0.15,50,computational,0.124274,0.297955
2,0.15,50,stabilizer,0.089229,0.241634
2,0.15,50,haar,0.023506,0.129001
2,0.15,100,computational,0.039222,0.155983
2,0.15,100,stabilizer,0.048288,0.168526
2,0.15,100,haar,0.016827,0.105260
2,0.15,150,computational,0.039017,0.157878
2,0.15,150,stabilizer,0.033587,0.149510
2,0.15,150,haar,0.017315,0.106808
2,0.15,200,computational,0.039184,0.156064
2,0.15,200,stabilizer,0.033774,0.141985
2,0.15,200,haar,0.017707,0.108409
2,0.15,250,computational,0.024296,0.121684
2,0.15,250,stabilizer,0.023898,0.123550
2,0.15,250,haar,0.017615,0.103153
2,0.15,300,computational,0.019589,0.111222
2,0.15,300,stabilizer,0.024738,0.128657
2,0.15,300,haar,0.016975,0.101938
2,0.15,350,computational,0.015418,0.102671
2,0.15,350,stabilizer,0.020571,0.112812
2,0.15,350,haar,0.018006,0.105667
2,0.15,400,computational,0.019461,0.107878
2,0.15,400,stabilizer,0.019051,0.111425
2,0.15,400,haar,0.017975,0.108583
2,0.15,450,computational,0.016633,0.101988
2,0.15,450,stabilizer,0.018026,0.108446
2,0.15,450,haar,0.015060,0.096969
2,0.15,500,computational,0.013397,0.088721
2,0.15,500,stabilizer,0.018299,0.106231
2,0.15,500,haar,0.015956,0.097783
2,0.25,50,computational,0.092303,0.249944
2,0.25,50,stabilizer,0.071264,0.202305
2,0.25,50,haar,0.025614,0.123046
2,0.25,100,computational,0.029285,0.136562
2,0.25,100,stabilizer,0.064708,0.201070
2,0.25,100,haar,0.017649,0.109860
2,0.25,150,computational,0.046867,0.182631
2,0.25,150,stabilizer,0.051477,0.177120
2,0.25,150,haar,0.021067,0.114621
2,0.25,200,computational,0.042304,0.166792
2,0.25,200,stabilizer,0.046351,0.175803
2,0.25,200,haar,0.016687,0.100245
2,0.25,250,computational,0.033926,0.147581
2,0.25,250,stabilizer,0.034721,0.150019
2,0.25,250,haar,0.017937,0.107982
2,0.25,300,computational,0.041747,0.156715
2,0.25,300,stabilizer,0.028056,0.133014
2,0.25,300,haar,0.017828,0.107927
