n,t_count,instance,mae,wall_seconds
4,0,0,0.02698376619549747,0.4048953056335449
4,0,1,0.009018432296921152,0.4160590171813965
4,2,0,0.01375064463038976,0.4096407890319824
4,2,1,0.026132364192199227,0.4086282253265381
4,4,0,0.012203016850754643,0.4024472236633301
4,4,1,0.03309082133439636,0.4068901538848877
4,6,0,0.03298173535525014,0.4022674560546875
4,6,1,0.007600651279633821,0.40053486824035645
4,8,0,0.03908760621696723,0.4034445285797119
4,8,1,0.01186572512863012,0.40614914894104004
4,12,0,0.0179072701930194,0.4114382266998291
4,12,1,0.057667978898469904,0.4073939323425293
4,16,0,0.035565410427129,0.4254770278930664
4,16,1,0.023490338940453236,0.4247767925262451
6,0,0,0.018792583820261787,0.7478559017181396
6,0,1,0.012599402886692795,1.7356252670288086
6,2,0,0.036121158927643095,1.933056354522705
6,2,1,0.008088604468159122,1.950207233428955
6,4,0,0.08327069087224753,1.7734949588775635
6,4,1,0.09843046513848021,1.113497257232666
6,6,0,0.04485573485336784,1.0865683555603027
6,6,1,0.02778545456811079,1.671144723892212
6,8,0,0.048087815587847575,1.778534173965454
6,8,1,0.08058889651936632,0.8032686710357666
6,12,0,0.034515218711032775,0.7854001522064209
6,12,1,0.057097274115457106,1.7855141162872314
6,16,0,0.056599481873006965,0.9046463966369629
6,16,1,0.06484801813300803,1.799323320388794
8,0,0,0.17168092713205482,1.8902387619018555
8,0,1,0.015556368867948636,3.579932689666748
8,2,0,0.4015222322500026,2.068378448486328
8,2,1,0.032743149809970236,1.9454095363616943
8,4,0,0.05716081032897322,3.570852279663086
8,4,1,0.18829142535527818,1.9183008670806885
8,6,0,0.024648260908901803,1.9067456722259521
8,6,1,0.14194336550399006,1.8717076778411865
8,8,0,0.07707362802845134,1.947659969329834
8,8,1,0.053114397621472555,2.062248468399048
8,12,0,0.01750293644549345,1.9147193431854248
8,12,1,0.10123404210142457,3.4834043979644775
8,16,0,0.047849612676743855,2.250861406326294
8,16,1,0.06594265996651538,2.214388847351074
10,0,0,0.0647747443754489,16.454410314559937
10,0,1,0.04945865460145999,16.60662865638733
10,2,0,0.09490896897786247,12.32663106918335
10,2,1,0.03694333515547199,15.865097045898438
10,4,0,0.1207825465561763,15.925080299377441
10,4,1,0.04981433215547679,15.120753288269043
10,6,0,0.09416856585714654,13.639790296554565
10,6,1,0.13556219040703318,13.12019944190979
10,8,0,0.08816889836549822,12.648658752441406
10,8,1,0.19237585867194965,13.957202672958374
10,12,0,0.11981291673479252,15.783726215362549
10,12,1,0.3049994038711259,11.513825178146362
10,16,0,0.1638545170758988,9.29661250114441
10,16,1,0.1047061341631553,9.150989532470703
12,0,0,0.10007839939266235,178.19244384765625
12,0,1,0.1318131221519107,182.26902747154236
12,2,0,0.1256383473365501,180.86824226379395
12,2,1,0.14672023712318838,182.78452587127686
12,4,0,0.1844758696137152,165.5316195487976
12,4,1,0.20954654574565063,160.10617589950562
12,6,0,0.1395069782771238,176.07301950454712
12,6,1,0.23593015869811346,169.43148064613342
12,8,0,0.16436165719736667,180.98022413253784
12,8,1,0.12266690426971776,177.47119092941284
12,12,0,0.17910054530746092,178.14068341255188
12,12,1,0.1765769358411621,167.28801774978638
12,16,0,0.13164466519812548,74.74261283874512
12,16,1,0.1276755913367705,71.20166349411011
