eta,instance,method,half_life,mae,wall_seconds
0.0,0,vanilla,0.0,0.06075488637124047,0.444852352142334
0.0,0,online,250.0,0.10909552721773982,0.45031046867370605
0.0,0,online,500.0,0.07505962996196408,0.44734764099121094
0.0,0,online,1000.0,0.06001900168348808,0.44475340843200684
0.0,0,online,2000.0,0.05731691399844348,0.4461805820465088
0.0,1,vanilla,0.0,0.06175415107815453,0.4285745620727539
0.0,1,online,250.0,0.11164685257075192,0.437039852142334
0.0,1,online,500.0,0.08382780369460237,0.4759256839752197
0.0,1,online,1000.0,0.0682947957203417,0.4384877681732178
0.0,1,online,2000.0,0.05797651308079375,0.43553853034973145
0.0,2,vanilla,0.0,0.05695554936867298,0.4241607189178467
0.0,2,online,250.0,0.1199543697554874,0.44008445739746094
0.0,2,online,500.0,0.08218031487875464,0.4346795082092285
0.0,2,online,1000.0,0.06023792318771088,0.4330317974090576
0.0,2,online,2000.0,0.05352990148713157,0.43242835998535156
0.0,3,vanilla,0.0,0.0486026302965267,0.4380824565887451
0.0,3,online,250.0,0.0986625860609214,0.44922876358032227
0.0,3,online,500.0,0.06877652874002894,0.44430088996887207
0.0,3,online,1000.0,0.06029832150441965,0.4408853054046631
0.0,3,online,2000.0,0.05246240656180307,0.44156575202941895
0.0025,0,vanilla,0.0,0.18717594569964904,0.42900800704956055
0.0025,0,online,250.0,0.1690165087387914,0.4577944278717041
0.0025,0,online,500.0,0.15204479764679119,0.4594101905822754
0.0025,0,online,1000.0,0.15263095717239014,0.44748640060424805
0.0025,0,online,2000.0,0.16988312550248988,0.43399810791015625
0.0025,1,vanilla,0.0,0.12074910997789684,0.42926478385925293
0.0025,1,online,250.0,0.11461645216930275,0.44370508193969727
0.0025,1,online,500.0,0.09331302090239908,0.4359118938446045
0.0025,1,online,1000.0,0.09517767772063278,0.43059539794921875
0.0025,1,online,2000.0,0.09964185369269002,0.431624174118042
0.0025,2,vanilla,0.0,0.21442178096982098,0.411754846572876
0.0025,2,online,250.0,0.177211258121314,0.44672727584838867
0.0025,2,online,500.0,0.17063810008317976,0.4369163513183594
0.0025,2,online,1000.0,0.19422171989953743,0.4317898750305176
0.0025,2,online,2000.0,0.20920311333455507,0.4157276153564453
0.0025,3,vanilla,0.0,0.14589617280539305,0.44479918479919434
0.0025,3,online,250.0,0.1577572718576441,0.47016406059265137
0.0025,3,online,500.0,0.13287651271694234,0.4609971046447754
0.0025,3,online,1000.0,0.12917636531040358,0.4518086910247803
0.0025,3,online,2000.0,0.129276281004954,0.4474797248840332
0.005,0,vanilla,0.0,0.18714334544910477,0.41249561309814453
0.005,0,online,250.0,0.14245701970261643,0.4398024082183838
0.005,0,online,500.0,0.14223536582749546,0.4319419860839844
0.005,0,online,1000.0,0.15340562135149258,0.42037177085876465
0.005,0,online,2000.0,0.17436187262359903,0.41604065895080566
0.005,1,vanilla,0.0,0.20411239351911709,0.3909461498260498
0.005,1,online,250.0,0.1727445255426571,0.4406473636627197
0.005,1,online,500.0,0.20597832051734566,0.4291510581970215
0.005,1,online,1000.0,0.2194665027238875,0.41119885444641113
0.005,1,online,2000.0,0.21723639623685095,0.406846284866333
0.005,2,vanilla,0.0,0.20728232061584742,0.4235658645629883
0.005,2,online,250.0,0.16800986265747378,0.442258358001709
0.005,2,online,500.0,0.16595979112346587,0.4419081211090088
0.005,2,online,1000.0,0.17445397681657557,0.43025922775268555
0.005,2,online,2000.0,0.18442101154698828,0.42358994483947754
0.005,3,vanilla,0.0,0.1501092172889855,0.4209718704223633
0.005,3,online,250.0,0.14522403550874602,0.4358341693878174
0.005,3,online,500.0,0.1392964186847097,0.43220043182373047
0.005,3,online,1000.0,0.13967162858178694,0.4255499839782715
0.005,3,online,2000.0,0.13831299020656476,0.42193055152893066
0.01,0,vanilla,0.0,0.1979872483784058,0.40838074684143066
0.01,0,online,250.0,0.21369607280302283,0.4426240921020508
0.01,0,online,500.0,0.20613705819448486,0.4251575469970703
0.01,0,online,1000.0,0.19950349165048734,0.4183516502380371
0.01,0,online,2000.0,0.19741087068106605,0.41388678550720215
0.01,1,vanilla,0.0,0.10608219103475139,0.4169962406158447
0.01,1,online,250.0,0.10828650796041038,0.4394490718841553
0.01,1,online,500.0,0.08441684959331915,0.4304213523864746
0.01,1,online,1000.0,0.08887448040157829,0.4240281581878662
0.01,1,online,2000.0,0.09460494584464808,0.41912412643432617
0.01,2,vanilla,0.0,0.21963171567669887,0.3752284049987793
0.01,2,online,250.0,0.1905438192115919,0.4269592761993408
0.01,2,online,500.0,0.20121127224447422,0.4154801368713379
0.01,2,online,1000.0,0.20394313546216586,0.3902599811553955
0.01,2,online,2000.0,0.2081363653848479,0.3834254741668701
0.01,3,vanilla,0.0,0.1813506508267347,0.38245248794555664
0.01,3,online,250.0,0.20355665817082563,0.4189918041229248
0.01,3,online,500.0,0.19185111147262082,0.41243839263916016
0.01,3,online,1000.0,0.19006698079853587,0.3977172374725342
0.01,3,online,2000.0,0.18039845432230134,0.3859527111053467
0.02,0,vanilla,0.0,0.2310517100368499,0.38380956649780273
0.02,0,online,250.0,0.24531004095312736,0.4358065128326416
0.02,0,online,500.0,0.23531645144406277,0.4050865173339844
0.02,0,online,1000.0,0.2301579664945712,0.39276695251464844
0.02,0,online,2000.0,0.22960866131061855,0.3929440975189209
0.02,1,vanilla,0.0,0.18961026756968222,0.3812754154205322
0.02,1,online,250.0,0.18199765185293224,0.4236307144165039
0.02,1,online,500.0,0.18485829495323813,0.40369582176208496
0.02,1,online,1000.0,0.18628554272014922,0.39113831520080566
0.02,1,online,2000.0,0.184922278089949,0.3806600570678711
0.02,2,vanilla,0.0,0.23251832999778613,0.41184091567993164
0.02,2,online,250.0,0.21166914272189813,0.43776535987854004
0.02,2,online,500.0,0.22697610984956873,0.42967844009399414
0.02,2,online,1000.0,0.2330170319188541,0.4204676151275635
0.02,2,online,2000.0,0.23438417570985212,0.41814684867858887
0.02,3,vanilla,0.0,0.24629887399612457,0.4206845760345459
0.02,3,online,250.0,0.22998306189516615,0.4436507225036621
0.02,3,online,500.0,0.24079105144716742,0.4306786060333252
0.02,3,online,1000.0,0.24315587282009182,0.43093442916870117
0.02,3,online,2000.0,0.24438024331713656,0.42673420906066895
0.04,0,vanilla,0.0,0.1816832418732391,0.4064021110534668
0.04,0,online,250.0,0.19753742312782438,0.4592769145965576
0.04,0,online,500.0,0.18354311739067108,0.4409499168395996
0.04,0,online,1000.0,0.18026482393637683,0.4289853572845459
0.04,0,online,2000.0,0.1793202869460258,0.4170799255371094
0.04,1,vanilla,0.0,0.2091797286280993,0.387423038482666
0.04,1,online,250.0,0.2429679669800688,0.4401071071624756
0.04,1,online,500.0,0.2255757241787373,0.41885924339294434
0.04,1,online,1000.0,0.2159606638729564,0.40154480934143066
0.04,1,online,2000.0,0.2140188328610259,0.39581799507141113
0.04,2,vanilla,0.0,0.19830104920599653,0.3801743984222412
0.04,2,online,250.0,0.22733031074342042,0.4295330047607422
0.04,2,online,500.0,0.2178823621653151,0.4052455425262451
0.04,2,online,1000.0,0.20566592175659631,0.39079952239990234
0.04,2,online,2000.0,0.20164842903555016,0.3888204097747803
0.04,3,vanilla,0.0,0.18883511978837392,0.3853425979614258
0.04,3,online,250.0,0.21883636384185753,0.4287536144256592
0.04,3,online,500.0,0.20167763307486883,0.40755629539489746
0.04,3,online,1000.0,0.19715977607833005,0.3956108093261719
0.04,3,online,2000.0,0.1933615239706314,0.3870227336883545
